t,GDP,CONS,INV,INFL,UNEMP,PROD_C
1,78.60000000000001,78.60000000000001,0.7726207500000145,0.0,0.0,1.0
2,71.83175999999999,71.83175999999999,0.0,0.0,0.4880000000000001,1.0
3,65.44571761728,65.44571761728,0.0,0.0,0.5,1.0
4,59.62382892401294,59.62382892401294,0.0,0.0,0.5,1.0
5,54.31652558702117,54.31652558702117,0.0,0.0,0.5,1.0
6,49.478574037444076,49.478574037444076,0.0,0.0,0.5,1.0
7,45.06869795458299,45.06869795458299,0.0,0.0,0.5,1.0
8,41.049233508268074,41.049233508268074,0.0,0.0,0.5,1.0
9,37.385814526355034,37.385814526355034,0.0,0.0,0.5,1.0
10,34.0470849983188,34.0470849983188,0.0,0.0,0.5,1.0
11,31.004436549252656,31.004436549252656,0.0,0.0,0.5,1.0
12,28.231768722705933,28.231768722705933,0.0,0.0,0.5,1.0
13,25.705270097352678,25.705270097352678,0.0,0.0,0.5,1.0
14,23.403218432983778,23.403218432983778,0.0,0.0,0.5,1.0
15,21.305798197136625,21.305798197136625,0.0,0.0,0.5,1.0
16,19.394933966078835,19.394933966078835,0.0,0.0,0.5,1.0
17,17.654138323999298,17.654138323999298,0.0,0.0,0.5,1.0
18,16.068373003184384,16.068373003184384,0.0,0.0,0.5,1.0
19,14.623922116633567,14.623922116633567,0.0,0.0,0.5,1.0
20,13.308276433877229,13.308276433877229,0.0,0.0,0.5,1.0
21,12.11002774150614,12.11002774150614,0.0,0.0,0.5,1.0
22,11.018772412842706,11.018772412842706,0.0,0.0,0.5,1.0
23,10.025023386952244,10.025023386952244,0.0,0.0,0.5,1.0
24,9.120129826423117,9.120129826423117,0.0,0.0,0.5,1.0
25,8.296203786600607,8.296203786600607,0.0,0.0,0.5,1.0
26,7.546053286754699,7.546053286754699,0.0,0.0,0.5,1.0
27,6.863121226467008,6.863121226467008,0.0,0.0,0.5,1.012819022270597
28,6.162433269444273,6.162433269444273,0.0,0.0,0.5,1.012819022270597
29,5.6036949255703306,5.6036949255703306,0.0,0.0,0.5,1.012819022270597
30,5.095136217008628,5.095136217008628,0.0,0.0,0.5,1.012819022270597
31,4.632286050685028,4.632286050685028,0.0,0.0,0.5,1.012819022270597
32,4.211069069600957,4.211069069600957,0.0,0.0,0.5,1.012819022270597
33,3.8664351769448144,3.8664351769448144,0.0,0.0,0.5,1.012819022270597
34,3.5500061220636514,3.5500061220636514,0.0,0.0,0.5,1.012819022270597
35,3.2594736210339623,3.2594736210339623,0.0,0.0,0.5,1.012819022270597
36,2.9927182998885433,2.9927182998885433,0.0,0.0,0.5,1.012819022270597
37,2.7477942342256645,2.7477942342256645,0.0,0.0,0.5,1.012819022270597
38,2.522914754096636,2.522914754096636,0.0,0.0,0.5,1.012819022270597
39,2.3164394106213675,2.3164394106213675,0.0,0.0,0.5,1.012819022270597
40,2.1268620092561146,2.1268620092561146,0.0,0.0,0.5,1.012819022270597
41,1.952799622418594,1.952799622418594,0.0,0.0,0.5,1.012819022270597
42,1.7929825013198561,1.7929825013198561,0.0,0.0,0.5,1.012819022270597
43,1.646244813411839,1.646244813411839,0.0,0.0,0.5,1.012819022270597
44,1.5115161378822142,1.5115161378822142,0.0,0.0,0.5,1.012819022270597
45,1.3878136571579336,1.3878136571579336,0.0,0.0,0.5,1.012819022270597
46,1.2742349874561285,1.2742349874561285,0.0,0.0,0.5,1.012819022270597
47,1.169951596082719,1.169951596082719,0.0,0.0,0.5,1.0167972226829962
48,1.0699999589490528,1.0699999589490528,0.0,0.0,0.5,1.0167972226829962
49,0.9824311623086622,0.9824311623086622,0.0,0.0,0.5,1.0167972226829962
50,0.9020289959853213,0.9020289959853213,0.0,0.0,0.5,1.0167972226829962
51,0.8282069429538825,0.8282069429538825,0.0,0.0,0.5,1.0167972226829962
52,0.7604264867425368,0.7604264867425368,0.0,0.0,0.5,1.0173599778702014
53,0.6978069757820149,0.6978069757820149,0.0,0.0,0.5,1.0173599778702014
54,0.6406984528840148,0.6406984528840148,0.0,0.0,0.5,1.0173599778702014
55,0.588263691499987,0.588263691499987,0.0,0.0,0.5,1.0173599778702014
56,0.540120190987628,0.540120190987628,0.0,0.0,0.5,1.0173599778702014
57,0.4959167545572005,0.4959167545572005,0.0,0.0,0.5,1.0173599778702014
58,0.4553309273642393,0.4553309273642393,0.0,0.0,0.5,1.0173599778702014
59,0.41806664426874995,0.41806664426874995,0.0,0.0,0.5,1.0173599778702014
60,0.38385207010179545,0.38385207010179545,0.0,0.0,0.5,1.0173599778702014
61,0.3524376166846645,0.3524376166846645,0.0,0.0,0.5,1.0173599778702014
62,0.32359412213519156,0.32359412213519156,0.0,0.0,0.5,1.0173599778702014
63,0.29711117917964747,0.29711117917964747,0.0,0.0,0.5,1.0173599778702014
64,0.2727956002755851,0.2727956002755851,0.0,0.0,0.5,1.0173599778702014
65,0.2504700083490312,0.2504700083490312,0.0,0.0,0.5,1.0173599778702014
66,0.22997154286574653,0.22997154286574653,0.0,0.0,0.5,1.0173599778702014
67,0.2111506717976138,0.2111506717976138,0.0,0.0,0.5,1.0173599778702014
68,0.1938701008176971,0.1938701008176971,0.0,0.0,0.5,1.0173599778702014
69,0.17800377176677676,0.17800377176677676,0.0,0.0,0.5,1.0173599778702014
70,0.16343594308538376,0.16343594308538376,0.0,0.0,0.5,1.0173599778702014
71,0.15006034550327596,0.15006034550327596,0.0,0.0,0.5,1.0173599778702014
72,0.13777940682728784,0.13777940682728784,0.0,0.0,0.5,1.0173599778702014
73,0.12650354017254262,0.12650354017254262,0.0,0.0,0.5,1.0173599778702014
74,0.1161504904448217,0.1161504904448217,0.0,0.0,0.5,1.0173599778702014
75,0.10664473430681749,0.10664473430681749,0.0,0.0,0.5,1.0173599778702014
76,0.09791692925114753,0.09791692925114753,0.0,0.0,0.5,1.0173599778702014
77,0.08990340776123362,0.08990340776123362,0.0,0.0,0.5,1.0173599778702014
78,0.08254571287005426,0.08254571287005426,0.0,0.0,0.5,1.0173599778702014
79,0.075790171728769,0.075790171728769,0.0,0.0,0.5,1.0186656903463358
80,0.06949830771388053,0.06949830771388053,0.0,0.0,0.5,1.0186656903463358
81,0.06381056621057656,0.06381056621057656,0.0,0.0,0.5,1.0186656903463358
82,0.058588309471902966,0.058588309471902966,0.0,0.0,0.5,1.0186656903463358
83,0.05379344222472242,0.05379344222472242,0.0,0.0,0.5,1.0186656903463358
