t,inn_success_cum,inn_trials_cum,prod_c
180,5,180,1.0194178681825699
181,5,181,1.0194178681825699
182,5,182,1.0194178681825699
183,5,183,1.0194178681825699
184,5,184,1.0194178681825699
185,5,185,1.0194178681825699
186,5,186,1.0194178681825699
187,5,187,1.0194178681825699
188,5,188,1.0194178681825699
189,5,189,1.0194178681825699
190,5,190,1.0194178681825699
191,5,191,1.0194178681825699
192,5,192,1.0194178681825699
193,5,193,1.0194178681825699
194,5,194,1.0194178681825699
195,5,195,1.0194178681825699
196,5,196,1.0194178681825699
197,5,197,1.0194178681825699
198,5,198,1.0194178681825699
199,5,199,1.0194178681825699
200,5,200,1.0194178681825699
201,5,201,1.0194178681825699
202,5,202,1.0194178681825699
203,5,203,1.0194178681825699
204,5,204,1.0194178681825699
205,5,205,1.0194178681825699
206,5,206,1.0194178681825699
207,5,207,1.0194178681825699
208,5,208,1.0194178681825699
209,5,209,1.0194178681825699
210,5,210,1.0194178681825699
211,5,211,1.0194178681825699
212,5,212,1.0194178681825699
213,5,213,1.0194178681825699
214,5,214,1.0194178681825699
215,5,215,1.0194178681825699
216,5,216,1.0194178681825699
217,5,217,1.0194178681825699
218,5,218,1.0194178681825699
219,5,219,1.0194178681825699
220,5,220,1.0194178681825699
221,5,221,1.0194178681825699
222,5,222,1.0194178681825699
223,5,223,1.0194178681825699
224,5,224,1.0194178681825699
225,5,225,1.0194178681825699
226,5,226,1.0194178681825699
227,5,227,1.0194178681825699
228,5,228,1.0194178681825699
229,5,229,1.0194178681825699
230,5,230,1.0194178681825699
231,5,231,1.0194178681825699
232,5,232,1.0194178681825699
233,5,233,1.0194178681825699
234,5,234,1.0194178681825699
235,5,235,1.0194178681825699
236,5,236,1.0194178681825699
237,5,237,1.0194178681825699
238,5,238,1.0194178681825699
239,5,239,1.0194178681825699
240,5,240,1.0194178681825699
241,5,241,1.0194178681825699
242,5,242,1.0194178681825699
243,5,243,1.0194178681825699
244,5,244,1.0194178681825699
245,5,245,1.0194178681825699
246,5,246,1.0194178681825699
247,5,247,1.0194178681825699
248,5,248,1.0194178681825699
249,5,249,1.0194178681825699
250,5,250,1.0194178681825699
251,5,251,1.0194178681825699
252,5,252,1.0194178681825699
253,5,253,1.0194178681825699
254,5,254,1.0194178681825699
255,5,255,1.0194178681825699
256,5,256,1.0194178681825699
257,5,257,1.0194178681825699
258,5,258,1.0194178681825699
259,5,259,1.0194178681825699
260,5,260,1.0194178681825699
261,5,261,1.0194178681825699
262,5,262,1.0194178681825699
263,5,263,1.0194178681825699
264,5,264,1.0194178681825699
265,5,265,1.0194178681825699
266,5,266,1.0194178681825699
267,5,267,1.0194178681825699
268,5,268,1.0194178681825699
269,5,269,1.0194178681825699
270,5,270,1.0194178681825699
271,5,271,1.0194178681825699
272,5,272,1.0194178681825699
273,5,273,1.0194178681825699
274,5,274,1.0194178681825699
275,5,275,1.0194178681825699
276,5,276,1.0194178681825699
277,5,277,1.0194178681825699
278,6,278,1.0194178681825699
279,6,279,1.0241132776357786
280,6,280,1.0241132776357786
281,6,281,1.0241132776357786
282,6,282,1.0241132776357786
283,6,283,1.0241132776357786
284,6,284,1.0241132776357786
285,6,285,1.0241132776357786
286,6,286,1.0241132776357786
287,6,287,1.0241132776357786
288,6,288,1.0241132776357786
289,6,289,1.0241132776357786
290,6,290,1.0241132776357786
291,6,291,1.0241132776357786
292,6,292,1.0241132776357786
293,6,293,1.0241132776357786
294,6,294,1.0241132776357786
295,6,295,1.0241132776357786
296,6,296,1.0241132776357786
297,6,297,1.0241132776357786
298,6,298,1.0241132776357786
299,6,299,1.0241132776357786
300,6,300,1.0241132776357786
