67,38.0,67.0,12.0,44.0,59.0,13.0,53.0,20.0,47.0,27.0
68,39.0,68.0,4.0,19.0,33.0,15.0,81.0,0.0,48.0,41.0
69,40.0,71.0,12.0,6.0,55.0,15.0,84.0,18.0,51.0,28.0
70,40.0,59.0,12.0,0.0,58.0,15.0,73.0,18.0,52.0,40.0
71,41.0,72.0,11.0,12.0,59.0,18.0,86.0,18.0,38.0,28.0
72,44.0,55.0,7.0,12.0,60.0,18.0,88.0,19.0,51.0,26.0
73,46.0,72.0,0.0,11.0,61.0,18.0,66.0,19.0,52.0,12.0
74,38.0,73.0,1.0,11.0,64.0,19.0,75.0,15.0,53.0,1.0
75,46.0,61.0,12.0,19.0,66.0,19.0,40.0,19.0,55.0,0.0
76,41.0,75.0,13.0,20.0,33.0,20.0,59.0,12.0,58.0,0.0
77,44.0,78.0,13.0,20.0,53.0,20.0,78.0,8.0,13.0,6.0
78,19.0,68.0,13.0,21.0,61.0,20.0,55.0,13.0,51.0,18.0
79,35.0,78.0,15.0,21.0,64.0,21.0,75.0,12.0,31.0,18.0
80,39.0,48.0,15.0,24.0,66.0,21.0,53.0,18.0,28.0,18.0
81,38.0,75.0,15.0,1.0,41.0,21.0,75.0,13.0,26.0,19.0
82,41.0,64.0,18.0,20.0,64.0,24.0,78.0,18.0,20.0,18.0
83,38.0,78.0,18.0,20.0,59.0,8.0,79.0,18.0,39.0,19.0
84,28.0,38.0,18.0,21.0,66.0,11.0,80.0,15.0,39.0,20.0
85,41.0,39.0,19.0,21.0,67.0,20.0,84.0,19.0,38.0,20.0
86,44.0,21.0,19.0,24.0,68.0,20.0,86.0,19.0,41.0,21.0
87,32.0,31.0,20.0,24.0,68.0,21.0,87.0,20.0,41.0,21.0
88,28.0,39.0,19.0,26.0,61.0,21.0,91.0,18.0,40.0,4.0
89,40.0,48.0,12.0,26.0,72.0,7.0,92.0,20.0,44.0,18.0
90,28.0,53.0,7.0,27.0,64.0,20.0,95.0,20.0,46.0,20.0
91,40.0,46.0,0.0,27.0,73.0,13.0,98.0,8.0,47.0,4.0
92,38.0,53.0,11.0,15.0,75.0,20.0,100.0,19.0,33.0,18.0
93,27.0,55.0,13.0,6.0,61.0,13.0,104.0,6.0,47.0,19.0
94,21.0,58.0,13.0,18.0,78.0,20.0,106.0,18.0,12.0,0.0
95,38.0,59.0,15.0,0.0,79.0,20.0,108.0,19.0,20.0,0.0
96,0.0,60.0,15.0,6.0,68.0,21.0,112.0,19.0,33.0,11.0
97,18.0,61.0,15.0,15.0,64.0,21.0,115.0,19.0,24.0,13.0
98,28.0,64.0,0.0,6.0,79.0,24.0,119.0,13.0,12.0,13.0
99,31.0,55.0,7.0,13.0,80.0,24.0,121.0,19.0,0.0,13.0
100,31.0,66.0,12.0,15.0,84.0,26.0,106.0,11.0,11.0,15.0
101,32.0,48.0,13.0,1.0,78.0,26.0,113.0,12.0,1.0,0.0
102,33.0,32.0,11.0,12.0,86.0,27.0,120.0,18.0,7.0,11.0
103,13.0,38.0,13.0,13.0,88.0,27.0,127.0,19.0,18.0,12.0
104,18.0,40.0,13.0,13.0,60.0,21.0,131.0,6.0,19.0,12.0
105,28.0,4.0,13.0,13.0,72.0,27.0,133.0,18.0,19.0,13.0
106,28.0,4.0,15.0,15.0,47.0,19.0,138.0,18.0,19.0,13.0
107,31.0,38.0,15.0,15.0,79.0,27.0,140.0,19.0,20.0,13.0
108,26.0,39.0,15.0,15.0,78.0,28.0,144.0,0.0,20.0,15.0
109,24.0,39.0,18.0,18.0,66.0,28.0,148.0,15.0,21.0,15.0
110,31.0,40.0,18.0,18.0,81.0,28.0,152.0,12.0,21.0,13.0
111,28.0,41.0,12.0,13.0,58.0,31.0,155.0,15.0,24.0,11.0
112,32.0,44.0,4.0,18.0,48.0,32.0,160.0,15.0,24.0,15.0
113,32.0,44.0,1.0,19.0,18.0,32.0,160.0,18.0,26.0,15.0
114,33.0,46.0,12.0,19.0,13.0,31.0,167.0,8.0,26.0,18.0
115,35.0,47.0,13.0,6.0,55.0,20.0,172.0,15.0,12.0,18.0
116,35.0,48.0,0.0,18.0,58.0,18.0,178.0,6.0,4.0,18.0
117,38.0,51.0,13.0,18.0,59.0,31.0,138.0,1.0,20.0,19.0
118,39.0,52.0,13.0,4.0,60.0,24.0,178.0,0.0,4.0,19.0
119,39.0,52.0,15.0,4.0,61.0,18.0,180.0,6.0,13.0,0.0
120,40.0,53.0,7.0,13.0,59.0,8.0,172.0,13.0,18.0,15.0
121,0.0,38.0,13.0,0.0,64.0,12.0,187.0,0.0,19.0,18.0
122,0.0,53.0,0.0,13.0,66.0,11.0,192.0,11.0,19.0,8.0
123,13.0,53.0,8.0,15.0,67.0,1.0,184.0,15.0,15.0,15.0
124,24.0,52.0,7.0,15.0,68.0,4.0,184.0,0.0,0.0,18.0
125,26.0,41.0,0.0,6.0,71.0,15.0,200.0,0.0,0.0,18.0
126,27.0,55.0,7.0,13.0,73.0,1.0,206.0,8.0,6.0,6.0
127,27.0,58.0,18.0,15.0,75.0,0.0,212.0,7.0,1.0,15.0
128,6.0,59.0,4.0,15.0,68.0,13.0,212.0,13.0,0.0,12.0
129,24.0,60.0,15.0,11.0,39.0,15.0,221.0,13.0,13.0,1.0
130,26.0,24.0,0.0,15.0,71.0,15.0,227.0,15.0,13.0,13.0
131,20.0,44.0,7.0,1.0,64.0,15.0,233.0,0.0,12.0,13.0
132,0.0,53.0,0.0,15.0,72.0,18.0,239.0,13.0,12.0,13.0
133,13.0,44.0,11.0,15.0,75.0,18.0,184.0,13.0,15.0,15.0
134,12.0,55.0,7.0,15.0,27.0,0.0,235.0,15.0,11.0,15.0
135,19.0,19.0,6.0,18.0,41.0,11.0,244.0,15.0,15.0,15.0
136,13.0,20.0,4.0,18.0,61.0,8.0,248.0,11.0,15.0,18.0
137,19.0,13.0,11.0,19.0,66.0,13.0,198.0,15.0,15.0,18.0
138,20.0,39.0,12.0,7.0,51.0,13.0,224.0,15.0,18.0,18.0
139,20.0,38.0,12.0,8.0,66.0,13.0,201.0,18.0,18.0,13.0
140,20.0,0.0,12.0,11.0,61.0,15.0,246.0,18.0,18.0,18.0
141,21.0,0.0,13.0,15.0,32.0,15.0,231.0,18.0,19.0,19.0
142,21.0,27.0,13.0,15.0,33.0,15.0,193.0,19.0,19.0,19.0
143,24.0,28.0,13.0,8.0,58.0,18.0,227.0,19.0,20.0,20.0
144,24.0,28.0,15.0,4.0,26.0,18.0,239.0,20.0,20.0,8.0
145,26.0,31.0,15.0,13.0,53.0,18.0,172.0,20.0,19.0,19.0
146,26.0,31.0,15.0,13.0,55.0,19.0,218.0,12.0,21.0,19.0
147,27.0,32.0,18.0,13.0,58.0,19.0,218.0,20.0,21.0,20.0
148,27.0,33.0,18.0,15.0,59.0,20.0,212.0,20.0,24.0,20.0
149,28.0,33.0,18.0,15.0,46.0,20.0,241.0,21.0,24.0,21.0
150,28.0,35.0,19.0,15.0,59.0,20.0,248.0,8.0,26.0,21.0
151,31.0,38.0,19.0,13.0,35.0,21.0,226.0,20.0,26.0,24.0
152,31.0,38.0,20.0,18.0,39.0,12.0,240.0,20.0,27.0,24.0
153,32.0,39.0,15.0,0.0,53.0,20.0,259.0,21.0,26.0,12.0
154,28.0,40.0,20.0,0.0,46.0,21.0,215.0,21.0,28.0,13.0
155,15.0,40.0,11.0,0.0,55.0,21.0,260.0,24.0,6.0,15.0
156,6.0,41.0,13.0,0.0,53.0,24.0,267.0,24.0,6.0,20.0
157,0.0,44.0,19.0,1.0,58.0,24.0,228.0,26.0,11.0,21.0
158,8.0,46.0,19.0,15.0,59.0,26.0,212.0,26.0,12.0,21.0
159,4.0,12.0,18.0,15.0,15.0,26.0,266.0,26.0,19.0,24.0
160,0.0,39.0,20.0,18.0,31.0,26.0,272.0,20.0,19.0,6.0
161,0.0,19.0,20.0,18.0,47.0,27.0,279.0,0.0,20.0,6.0
162,0.0,38.0,21.0,18.0,39.0,11.0,275.0,0.0,20.0,19.0
163,11.0,31.0,21.0,19.0,47.0,20.0,291.0,18.0,21.0,6.0
164,19.0,13.0,24.0,4.0,24.0,21.0,298.0,19.0,21.0,1.0
165,4.0,0.0,24.0,7.0,35.0,19.0,259.0,0.0,24.0,15.0
166,15.0,15.0,26.0,15.0,31.0,7.0,304.0,0.0,24.0,15.0
167,18.0,26.0,7.0,15.0,41.0,21.0,268.0,15.0,26.0,18.0
168,18.0,4.0,21.0,15.0,18.0,21.0,311.0,15.0,26.0,13.0
169,7.0,21.0,24.0,18.0,39.0,24.0,287.0,18.0,27.0,18.0
170,15.0,24.0,24.0,18.0,31.0,19.0,319.0,1.0,27.0,18.0
171,18.0,1.0,26.0,19.0,39.0,24.0,327.0,0.0,28.0,0.0
172,18.0,12.0,26.0,8.0,33.0,24.0,311.0,19.0,28.0,4.0
173,19.0,19.0,21.0,19.0,20.0,12.0,339.0,1.0,31.0,19.0
174,12.0,19.0,0.0,19.0,21.0,18.0,299.0,15.0,31.0,19.0
175,18.0,20.0,0.0,20.0,35.0,21.0,315.0,18.0,32.0,15.0
