128,30.0,56.0,38.0,52.0,57.0
129,30.0,54.0,34.0,56.0,56.0
130,39.0,52.0,31.0,51.0,54.0
131,45.0,48.0,28.0,53.0,50.0
132,41.0,51.0,28.0,58.0,48.0
133,45.0,49.0,27.0,59.0,46.0
134,48.0,43.0,29.0,56.0,42.0
135,47.0,48.0,29.0,52.0,41.0
136,45.0,47.0,34.0,52.0,39.0
137,45.0,44.0,40.0,48.0,34.0
138,42.0,44.0,42.0,46.0,31.0
139,38.0,51.0,42.0,43.0,29.0
140,36.0,52.0,42.0,49.0,29.0
141,39.0,49.0,36.0,47.0,35.0
142,41.0,47.0,34.0,49.0,38.0
143,38.0,48.0,33.0,49.0,46.0
144,35.0,48.0,33.0,50.0,49.0
145,33.0,45.0,33.0,50.0,59.0
146,32.0,43.0,33.0,47.0,63.0
147,30.0,35.0,35.0,43.0,61.0
148,34.0,35.0,35.0,39.0,55.0
149,36.0,43.0,34.0,48.0,50.0
150,33.0,44.0,32.0,50.0,48.0
151,30.0,41.0,31.0,54.0,49.0
152,32.0,40.0,31.0,50.0,52.0
153,41.0,36.0,31.0,46.0,50.0
154,47.0,36.0,32.0,37.0,47.0
155,48.0,37.0,30.0,37.0,45.0
156,53.0,34.0,30.0,33.0,45.0
157,52.0,34.0,29.0,39.0,48.0
158,52.0,32.0,28.0,45.0,48.0
159,53.0,31.0,26.0,49.0,45.0
160,49.0,30.0,23.0,50.0,48.0
161,47.0,26.0,24.0,48.0,48.0
162,46.0,25.0,24.0,51.0,51.0
163,45.0,22.0,23.0,51.0,51.0
164,44.0,22.0,24.0,52.0,50.0
165,40.0,21.0,27.0,55.0,48.0
166,38.0,18.0,28.0,55.0,46.0
167,35.0,18.0,27.0,56.0,45.0
168,32.0,18.0,27.0,57.0,43.0
169,30.0,20.0,29.0,57.0,38.0
170,29.0,23.0,30.0,52.0,38.0
171,29.0,23.0,28.0,55.0,37.0
172,26.0,32.0,28.0,53.0,35.0
173,25.0,35.0,33.0,47.0,34.0
174,26.0,37.0,31.0,43.0,32.0
175,26.0,35.0,35.0,42.0,44.0
176,23.0,31.0,36.0,43.0,48.0
177,21.0,24.0,31.0,44.0,49.0
178,28.0,22.0,32.0,43.0,51.0
179,28.0,22.0,32.0,47.0,50.0
180,31.0,21.0,30.0,55.0,45.0
181,32.0,20.0,32.0,53.0,41.0
182,30.0,23.0,36.0,49.0,43.0
183,29.0,23.0,38.0,45.0,43.0
184,27.0,27.0,42.0,43.0,42.0
185,22.0,30.0,40.0,40.0,41.0
186,22.0,32.0,39.0,34.0,43.0
187,21.0,32.0,39.0,35.0,45.0
188,27.0,31.0,40.0,37.0,43.0
189,28.0,33.0,41.0,33.0,43.0
190,25.0,38.0,41.0,27.0,45.0
191,23.0,42.0,43.0,24.0,46.0
192,21.0,42.0,46.0,21.0,44.0
193,21.0,42.0,51.0,20.0,40.0
194,21.0,38.0,63.0,21.0,40.0
195,21.0,35.0,62.0,18.0,40.0
